DATE,QUANTITIES_Kgs,VALUE,PFco_Code,Total_values
19-Jan-21,54.02,12960,401,700099.2
28-Jan-21,50.46,14400,401,726624
02-Jan-21,104.45,28800,401,3008160
19-Jan-21,208.62,51840,401,10814860.8
20-Feb-21,50.04,14400,401,720576
05-Feb-21,21.54,6000,401,129240
07-Apr-21,54.22,12960,401,702691.2
10-Jun-21,48.42,14400,401,697248
03-Jul-21,52.91,12960,401,685713.6
15-Dec-21,50.18,12960,401,650332.8
18-Jan-22,50.64,12240,401,619833.6
12-Jan-22,54.78,12960,401,709948.8
24-Feb-22,53.83,14400,401,775152
15-Mar-22,52.7,12960,401,682992
23-Apr-22,53.8,12960,401,697248
19-May-22,107.2,28800,401,3087360
24-May-22,54.74,12960,401,709430.4
08-Jun-22,51.58,12960,401,668476.8
26-Jul-22,51.9,12960,401,672624
20-Sep-22,50.82,12960,401,658627.2
04-Nov-22,107.4,30000,401,3222000
16-Dec-22,8.94,2700,401,24138
05-Dec-22,49.92,12960,401,646963.2
13-Dec-22,48.16,12960,401,624153.6
31-Dec-22,52.52,12960,401,680659.2
19-Jan-23,51.58,12600,401,649908
09-Jan-23,52.16,12960,401,675993.6
14-Jan-23,51.3,12960,401,664848
22-Feb-23,49.48,14400,401,712512
18-Apr-23,54.8,12960,401,710208
25-Apr-23,50.2,12960,401,650592
21-Jun-23,50.22,14400,401,723168
16-Jun-23,50.24,12960,401,651110.4
24-Jun-23,51.24,12960,401,664070.4
24-Jul-23,53.15,12960,401,688824
13-Oct-23,52.68,14400,401,758592
05-Oct-23,53.56,12960,401,694137.6
19-Dec-23,53.76,12960,401,696729.6
30-Jan-24,51.46,12960,401,666921.6
07-Feb-24,51.78,14400,401,745632
27-Feb-24,53.7,12960,401,695952
11-Apr-24,53.4,14400,401,768960
15-Apr-24,106.1,27360,401,2902896
03-Apr-24,54.38,12960,401,704764.8
18-May-24,52.9,14400,401,761760
17-May-24,53.2,12960,401,689472
11-Jun-24,106.5,23760,401,2530440
13-Jun-24,53.2,12960,401,689472
02-Jul-24,54.8,12960,401,710208
28-Jan-21,37.2,9600,404,357120
06-Jan-21,11.5,2880,404,33120
27-Jan-21,37.48,9600,404,359808
02-Jan-21,56.26,13950,404,784827
07-Jan-21,18.8,5250,404,98700
04-Feb-21,17.94,3150,404,56511
20-Feb-21,110.62,28800,404,3185856
23-Feb-21,55.41,15750,404,872707.5
04-Feb-21,36.35,9900,404,359865
05-Feb-21,37.44,9600,404,359424
10-Feb-21,54.98,14400,404,791712
17-Feb-21,55.72,14400,404,802368
24-Feb-21,111.04,28800,404,3197952
03-Feb-21,55.66,13950,404,776457
08-Mar-21,55.06,14850,404,817641
19-Mar-21,54.84,14850,404,814374
25-Mar-21,55.08,14850,404,817938
29-Mar-21,54.24,14850,404,805464
21-Apr-21,18,5100,404,91800
23-Apr-21,53.8,14400,404,774720
03-Apr-21,222.18,57600,404,12797568
21-Apr-21,160.13,44550,404,7133791.5
26-Apr-21,109.4,29700,404,3249180
26-Apr-21,35.92,9900,404,355608
03-Apr-21,55.04,14400,404,792576
21-Apr-21,162.02,47250,404,7655445
16-Apr-21,3.4,1050,404,3570
02-Apr-21,108.66,29700,404,3227202
12-Apr-21,106.4,29700,404,3160080
12-Jun-21,212.84,59400,404,12642696
16-Jun-21,108.2,29700,404,3213540
25-Jun-21,107.52,29700,404,3193344
09-Jul-21,53.92,15300,404,824976
17-Jul-21,53.94,15300,404,825282
07-Jul-21,267.84,74250,404,19887120
13-Jul-21,53.66,14400,404,772704
13-Jul-21,53.98,14400,404,777312
02-Jul-21,7.1,2100,404,14910
03-Jul-21,53.3,14850,404,791505
10-Jul-21,54.52,14850,404,809622
12-Jul-21,53.46,14850,404,793881
26-Jul-21,53.26,14850,404,790911
01-Jul-21,213.78,57600,404,12313728
27-Aug-21,271.52,74250,404,20160360
02-Aug-21,53.78,14850,404,798633
07-Aug-21,109.57,29700,404,3254229
16-Aug-21,110.88,29700,404,3293136
24-Aug-21,108.62,29700,404,3226014
23-Sep-21,54.75,15300,404,837675
17-Sep-21,54.75,14400,404,788400
06-Sep-21,36.1,9900,404,357390
16-Sep-21,53.55,14400,404,771120
04-Sep-21,25.35,6930,404,175675.5
25-Sep-21,56.24,14850,404,835164
05-Oct-21,73.21,16800,404,1229928
26-Oct-21,54.35,15750,404,856012.5
26-Oct-21,56.48,15750,404,889560
04-Oct-21,54.15,14850,404,804127.5
12-Oct-21,112.42,29700,404,3338874
27-Oct-21,55.36,14850,404,822096
16-Nov-21,26.26,6930,404,181981.8
22-Nov-21,22.66,5940,404,134600.4
11-Dec-21,18.25,5100,404,93075
04-Dec-21,53.68,15750,404,845460
22-Dec-21,53.38,15750,404,840735
18-Dec-21,36.5,9900,404,361350
11-Dec-21,55.35,15750,404,871762.5
06-Dec-21,54.15,14850,404,804127.5
16-Dec-21,52.92,14850,404,785862
24-Dec-21,218.46,59400,404,12976524
28-Jan-22,219.97,59400,404,13066218
29-Jan-22,7.22,2400,404,17328
19-Jan-22,36.19,9900,404,358281
19-Jan-22,14.66,4200,404,61572
14-Feb-22,53.82,14850,404,799227
10-Feb-22,55.65,14850,404,826402.5
21-Feb-22,54.57,14850,404,810364.5
18-Mar-22,35.51,10500,404,372855
01-Mar-22,35.52,9900,404,351648
04-Mar-22,106.63,29700,404,3166911
18-Apr-22,165.07,44550,404,7353868.5
22-Apr-22,110.52,29700,404,3282444
12-Apr-22,168.5,43200,404,7279200
15-Apr-22,3.53,1050,404,3706.5
20-May-22,109.39,29700,404,3248883
10-May-22,54.75,15300,404,837675
31-May-22,36.36,10200,404,370872
07-May-22,113.74,29700,404,3378078
24-Jun-22,53.7,15750,404,845775
15-Jun-22,162,44550,404,7217100
06-Jun-22,54.28,14850,404,806058
29-Jun-22,3.53,1200,404,4236
08-Jun-22,54.75,14850,404,813037.5
28-Jun-22,35.7,9900,404,353430
29-Jun-22,159.1,44550,404,7087905
23-Jul-22,108.5,30600,404,3320100
11-Jul-22,162.03,44550,404,7218436.5
15-Jul-22,11.1,3420,404,37962
23-Jul-22,53,15300,404,810900
07-Jul-22,53.7,14850,404,797445
18-Jul-22,107.2,29700,404,3183840
04-Jul-22,108.06,29700,404,3209382
23-Aug-22,158.01,44550,404,7039345.5
05-Aug-22,35.37,10200,404,360774
12-Aug-22,53.7,14850,404,797445
12-Aug-22,53,16200,404,858600
02-Aug-22,52.2,14850,404,775170
12-Aug-22,34.8,9900,404,344520
22-Aug-22,35.04,9900,404,346896
05-Sep-22,35.7,10500,404,374850
02-Sep-22,53.4,16200,404,865080
21-Sep-22,73.6,24000,404,1766400
27-Sep-22,36.9,10200,404,376380
05-Sep-22,107.6,29700,404,3195720
20-Sep-22,109.7,29700,404,3258090
08-Sep-22,3.51,1350,404,4738.5
19-Oct-22,110.8,29700,404,3290760
07-Oct-22,110.4,28800,404,3179520
01-Oct-22,54.6,14850,404,810810
18-Oct-22,36.32,9900,404,359568
11-Oct-22,36.5,10800,404,394200
21-Nov-22,110.4,29700,404,3278880
29-Nov-22,55,14850,404,816750
16-Nov-22,7.2,2100,404,15120
19-Nov-22,56.1,16200,404,908820
10-Nov-22,55.5,15750,404,874125
25-Nov-22,53.34,14850,404,792099
30-Dec-22,53.38,15300,404,816714
07-Dec-22,53.24,14850,404,790614
24-Dec-22,108.95,29700,404,3235815
04-Jan-23,110.2,29700,404,3272940
19-Jan-23,108.1,29700,404,3210570
14-Jan-23,107.5,30600,404,3289500
27-Jan-23,107.95,30600,404,3303270
24-Jan-23,54.88,15300,404,839664
03-Jan-23,109.5,29700,404,3252150
24-Jan-23,161.72,44550,404,7204626
18-Feb-23,54.25,15750,404,854437.5
10-Feb-23,53.8,15300,404,823140
01-Feb-23,110.65,29700,404,3286305
06-Feb-23,106.5,29700,404,3163050
27-Feb-23,54.6,14850,404,810810
16-Feb-23,18.13,5550,404,100621.5
29-Mar-23,14.32,4200,404,60144
02-Mar-23,10.8,3150,404,34020
17-Mar-23,107,29700,404,3177900
24-Mar-23,52.3,14850,404,776655
12-Apr-23,53.5,14850,404,794475
21-Apr-23,53.7,14850,404,797445
27-Apr-23,205.4,59400,404,12200760
06-Apr-23,35.7,9900,404,353430
05-May-23,34.4,10500,404,361200
02-May-23,10.44,3150,404,32886
04-May-23,51.9,14850,404,770715
30-May-23,115.3,29700,404,3424410
03-May-23,51.35,15300,404,785655
03-May-23,51.2,16650,404,852480
24-Jun-23,51.34,14850,404,762399
03-Jun-23,57.2,15750,404,900900
17-Jun-23,56.1,14850,404,833085
10-Jun-23,36.78,9900,404,364122
16-Jun-23,168.89,43200,404,7296048
27-Jun-23,52,14400,404,748800
08-Jul-23,153.85,44550,404,6854017.5
12-Jul-23,101.8,29700,404,3023460
29-Jul-23,104,29700,404,3088800
04-Jul-23,52.3,16200,404,847260
04-Jul-23,52,14850,404,772200
21-Jul-23,52.3,14850,404,776655
03-Aug-23,50.8,14850,404,754380
11-Aug-23,101.9,29700,404,3026430
26-Aug-23,51.3,14850,404,761805
12-Aug-23,51.1,16200,404,827820
23-Aug-23,33.6,10200,404,342720
23-Aug-23,50.9,14850,404,755865
16-Aug-23,103.3,33300,404,3439890
08-Aug-23,51.7,14850,404,767745
25-Aug-23,16.84,4950,404,83358
02-Sep-23,35,10500,404,367500
